"Model","Itemcode","Description","Currency","Clearance","DecoCharge","MinDecoQTY","PriceBar1","PriceBar2","PriceBar3","PriceBar4","NettPriceQ1","NettPriceQ2","NettPriceQ3","NettPriceQ4","IndustryCol1","IndustryCol2","IndustryCol3","IndustryCol4"
"100002","10000200","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000201","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000202","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000203","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000204","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000205","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000206","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000207","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000208","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000209","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000210","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100002","10000211","Oregon 400 ml aluminium waterfles met karabijnhaak","EUR","","PAD03,DRD03,GPE02,LAS02,LASR02","50","1","100","250","1000","1,16","1,14","1,12","1,10","3,59","3,38","3,25","3,19"
"100137","10013700","Riviera waterdicht picknickkleed","EUR","","MR04,DTR03,TRA04","25","1","50","100","500","8,09","7,78","7,55","7,40","22,77","21,48","20,66","20,25"
"100165","10016500","Huggy deken met hoes","EUR","","EMB001,DEB04,DTR03,LAS03,MR03,TRA05","50","1","100","250","1000","3,69","3,62","3,55","3,48","10,59","9,99","9,61","9,42"
"100165","10016501","Huggy deken met hoes","EUR","","EMB001,DEB04,DTR03,LAS03,MR03,TRA05","50","1","100","250","1000","3,69","3,62","3,55","3,48","10,59","9,99","9,61","9,42"
"100165","10016503","Huggy deken met hoes","EUR","","EMB001,DEB04,DTR03,LAS03,MR03,TRA05","50","1","100","250","1000","3,69","3,62","3,55","3,48","10,59","9,99","9,61","9,42"
"100165","10016504","Huggy deken met hoes","EUR","","EMB001,DEB04,DTR03,LAS03,MR03,TRA05","50","1","100","250","1000","3,69","3,62","3,55","3,48","10,59","9,99","9,61","9,42"
"100165","10016505","Huggy deken met hoes","EUR","","EMB001,DEB04,DTR03,LAS03,MR03,TRA05","50","1","100","250","1000","3,69","3,62","3,55","3,48","10,59","9,99","9,61","9,42"
